tweet_id,tweet_text,traffic data
7.69E+17,"Fatal car vs semi crash on I-80/I-94 WB @ Cline. Only shoulder gets by, police, fire, tow on scene. https://t.co/kfXeBmYJ5H",1
7.69E+17,"Joliet , Brandon Rd  And Zurich Rd - Accident - police on scene",1
7.69E+17,"Irving Park, Montrose Ave  And Kostner Ave - Accident - police on scene",1
7.69E+17,"Lincoln Park, Fullerton Ave  And Halsted St - Accident - police on scene",1
7.69E+17,"Belmont Cragin, Laramie Ave   And Fullerton Ave - Accident - police on scene",1
7.69E+17,I-90/I-94 Kennedy Exwy Outbound At Ogden Av (#50A) - Disabled Vehicle - CLEARED,0
7.69E+17,"Fatal car vs semi crash on I-80/I-94 WB @ Cline. Only shoulder gets by, police, fire, tow on scene. https://t.co/EdWvejYwm5",1
7.69E+17,https://t.co/SxpYoaGgTd,0
7.69E+17,"Fatal car vs semi crash on I-80/I-94 WB @ Cline. Only shoulder gets by, police, fire, tow on scene. https://t.co/sTqk4CAy8V",1
7.69E+17,"Fatal car vs semi crash on I-80/I-94 WB @ Cline. Only shoulder gets by, police, fire, tow on scene. https://t.co/yLqwYJFqNA",1
7.69E+17,"Have a great rest of your Thursday, everyone... Safe travels :) https://t.co/xKamgQrAFu",0
7.69E+17,Going to the @whitesox game tonight? The Dan Ryan clocks in @ 28 MINUTES (both directions): Dtwn-95th. https://t.co/I6lKgV57pc,0
7.69E+17,HIGHLAND PARK: Accident @ Green Bay/West Park Ave.,1
7.69E+17,TONIGHT: #CTA ORANGE LINE WORK https://t.co/BL9tf24fyT,0
7.69E+17,#CHICAGOLAND DRIVE TIMES @ 5:30PM: Range from 20-60 MINUTES. https://t.co/ooI7GE9VMR,0
7.69E+17,#CHICAGO: Crews are on scene of a fire on Keystone Ave near North Ave. https://t.co/U8ZSff7gYK,0
7.69E+17,NORTH CHICAGO: Accident @ 14th/Jackson St.,1
7.69E+17,#CHICAGO: Police activity (3 people shot) @ 65th/Maplewood Ave. https://t.co/KC3OnBRifp,0
7.69E+17,#CHICAGOLAND DRIVE TIMES @ 5PM: Range from 20-65 MINUTES. https://t.co/j7J6pJYpL6,0
7.69E+17,I-55: ROADWORK REMINDER (OVERNIGHT) https://t.co/3x5csLvkPF,1
7.69E+17,#UPDATE (#LOMBARD): A gas main break CLOSES Finley Rd from:16th St to 22nd St.,0
7.69E+17,#MANTENO: Crews continue to investigate a rollover crash @ 5000 W. 9000 N. Road. #AsSeenFromSkyCam9 https://t.co/yyER5yyJa3,1
7.69E+17,TONIGHT: #CTA BLUE LINE WORK https://t.co/qgK2AOc7Rv,0
7.69E+17,#CHICAGOLAND DRIVE TIMES @ 4:30PM: Range from 20-75 MINUTES. https://t.co/C2NeHTShPZ,0
7.69E+17,#LOMBARD: A gas main break CLOSES Finley Rd from: Foxworth Blvd to 22nd St.,0
7.69E+17,"#CTA BLUE LINE: Some O'Hare-Bound trains are operating with delays, after an earlier sick passenger near Cumberland.",0
7.69E+17,#MUNDELEIN: Accident @ IL-176/Midlothian Rd.,1
7.69E+17,#CHICAGOLAND DRIVE TIMES @ 4PM: Range from 20-65 MINUTES. https://t.co/3e7OfwwbbP,0
7.69E+17,#BRIDGEVIEW: Accident on Harlem Ave near 95th St.,1
7.69E+17,PALOS PARK: Accident @ 104th Ave/131st St.,1
7.69E+17,WB I-80: A crash approaching Houbolt Rd BLOCKS the right lane... Heavy delays start @ I-355.,1
7.69E+17,#CHICAGOLAND DRIVE TIMES @ 3:30PM: Range from 20-60 MINUTES. https://t.co/qZBA0g3mLC,0
7.69E+17,#BARRINGTON: Accident @ US-14/Lake Cook Rd.,1
7.69E+17,#WHEATON: Accident @ County Farm/Roosevelt Rd.,1
7.69E+17,#CHICAGOLAND DRIVE TIMES @ 3PM: Range from 20-50 MINUTES. https://t.co/8e2Vg9k1xf,0
7.69E+17,"#METRA: An IB @metraMED train due into Chicago @ 3:07pm will be about 10 MINUTES late, due to signal problems.",0
7.69E+17,DES PLAINES: Accident (with injury) on Touhy Ave near Mt. Prospect Rd.,1
7.69E+17,"GOOD THURSDAY AFTERNOON, #CHICAGOLAND :) https://t.co/CWzFV7zVgl",0
7.69E+17,"Waukegan, O'Plaine Rd  And Route 120 - Accident - police on scene",1
7.69E+17,"Winthrop Harbor, Lewis Ave  At 9th St - Malfunctioning Traffic Light",0
7.69E+17,"Barrington, Hwy 14   At Route 59 - Accident - police &amp; fire dept on scene",1
7.69E+17,"Woodridge, Internationale Pkwy  And Morey Dr - Accident - police on scene",1
7.69E+17,"I-80 Eastbound At US-30 Lincoln Hwy/Maple St (#137) - Accident - left lane blocked, police on scene https://t.co/rMeTD1cwa7",1
7.69E+17,https://t.co/93r7ubu2cx,0
7.69E+17,https://t.co/rpjpZOmY2L,0
7.69E+17,The rain &amp; fog is moving OUT! https://t.co/kD3r7YMIW6,0
7.69E+17,https://t.co/kfQi86sEDn,0
7.69E+17,I-90 Jane Addams Tollway Inbound Before Arlington Heights Rd - Accident - https://t.co/I0ylTqEMMY,1
7.69E+17,https://t.co/ug4qG34Bc4,0
7.69E+17,"Hinsdale, Ogden Ave a  And I-294 - Accident - traffic diverted to local lanes - head on crash https://t.co/WauLuei5NH",1
7.69E+17,"SB LSD ramp to Fullerton partially blocked, police on scene. Minor delays. https://t.co/amlxpEZHB2",1
7.69E+17,"Antioch, Lake Ave  And Todd St - Accident - police on scene",1
7.69E+17,"Earlier crash now on shoulder, &amp; ALL LANES NOW OPEN on I-80/I-94 WB @ Illinois State Line. https://t.co/6LMOM7lvtM",1
7.69E+17,"Rollover crash in Deer Park on IL-12 @ Cuba, expect delays https://t.co/vdSXhsLqZt",1
7.69E+17,"Markham, 165th St  Near Wood St - Accident - police on scene",1
7.69E+17,"Des Plaines, Algonquin Rd  And Cora St - Accident - police on scene",1
7.69E+17,"In Lansing, on WB I-80/I-94 @ the Illinois State Line, there is a crash blocking the right lane, police on scene. https://t.co/T2A7rSCTKt",1
7.69E+17,"A crash in Deer Park, @ IL-12 &amp; Cuba. https://t.co/k1tPHB6BuP",1
7.69E+17,"Vehicle vs train in Dolton, 140th St @ Lincoln Ave - Accident - road closed, police on scene https://t.co/MRpVfcBvqS",1
7.69E+17,"Have a wonderful rest of your Wednesday, everyone... Safe travels :) https://t.co/t1vP2COuaz",0
7.69E+17,Going to the @whitesox game tonight? The Dan Ryan clocks in @ 22 MINUTES: 95th-Dtwn // 25 MINUTES: Dtwn-95th. https://t.co/SMIe9ntmtP,0
7.69E+17,#CHICAGOLAND DRIVE TIMES @ 5:30PM: Range from 20-65 MINUTES. https://t.co/71C9pyhRIz,0
7.69E+17,TONIGHT: #CTA RED LINE WORK https://t.co/bnLzDgFeB8,0
7.69E+17,#LOMBARD: Accident @ Roosevelt/Finley Rd.,1
7.69E+17,#CHICAGOLAND DRIVE TIMES @ 5PM: Range from 20-65 MINUTES. https://t.co/CqGrn9Y7v1,0
7.69E+17,"PARK FOREST: A crash CLOSES Sauk Trail @ Main St, due to a crash.",1
7.69E+17,#UPDATE (WB I-80): A crash near I-355 BLOCKS the right lane.,1
7.69E+17,#UPDATE (#MAYWOOD/#BROADVIEW): A rollover crash (with injury &amp; downed light pole) CLOSES Roosevelt Rd between 5th Ave to 17th Ave.,1
7.69E+17,#CHICAGOLAND DRIVE TIMES @ 4:30PM: Range from 20-55 MINUTES. https://t.co/SjX9XTq2UP,0
7.69E+17,#UPDATE (#MAYWOOD): A rollover crash (with injury &amp; downed light pole) CLOSES Roosevelt Rd between 10th Ave to 5th Ave.,1
7.69E+17,WB I-80: A crash near I-355 only allows the center lane to get by... Delays begin before Wolf Rd.,1
7.69E+17,HANOVER PARK: Accident @ Army Trail/County Farm Rd.,1
7.69E+17,#BROADVIEW: A crash (with injury) CLOSES Roosevelt Rd between 17th Ave to 9th Ave.,1
7.69E+17,#CHICAGOLAND DRIVE TIMES @ 4PM: Range from 20-50 MINUTES. https://t.co/qXWkvvr4vD,0
7.69E+17,#WOODRIDGE: Accident @ 63rd/I-355.,1
7.69E+17,HAWTHORN WOODS: Accident @ Midlothian/Old McHenry Rd.,1
7.69E+17,"#NILES: Due to a crash, WB Oakton St CLOSED @ Milwaukee Ave.",1
7.69E+17,#CHICAGOLAND DRIVE TIMES @ 3:30PM: Range from 20-45 MINUTES. https://t.co/KPFVqslCSL,0
7.69E+17,TONIGHT: I-55 ROADWORK (WEATHER PERMITTING) https://t.co/1erFqxZ866,0
7.69E+17,TONIGHT: #CTA BLUE LINE WORK https://t.co/23ryA8Ex3d,0
7.69E+17,#CHICAGOLAND DRIVE TIMES @ 3PM: Range from 20-45 MINUTES. https://t.co/ZaYN94EPxo,0
7.69E+17,SB LAKE SHORE DRIVE: A crash near 18th St BLOCKS the acceleration lane.,1
7.69E+17,"#METRA: An IB @metraMED train due into Chicago @ 3pm will be about 10 MINUTES late, due to track construction.",0
7.69E+17,"#HAMPSHIRE: Watch for delays near IL-47/Reinking Rd, due to a crash with injuries.",1
7.69E+17,"GOOD WEDNESDAY AFTERNOON, #CHICAGOLAND :) https://t.co/bLtafJIZst",0
7.68E+17,"Merrionette Park, 115th St   And Kedzie Ave - Accident - police on scene - child struck by a car. https://t.co/9nOrviehJ8",1
7.68E+17,"Willowbrook, 63rd St  And Route 83 - Accident - police on scene",1
7.68E+17,"Elgin, McLean Blvd  And Spartan Dr - Accident - police on scene",1
7.68E+17,https://t.co/qkf1QA1vSq,0
7.68E+17,"Mundelein, Route 83  At Midlothian Rd - Accident - police on scene https://t.co/Jk4IsfMVYp",1
7.68E+17,https://t.co/WB4AVjqNhV,0
7.68E+17,"Elmhurst, St Charles Rd  And York St - Accident - police on scene",1
7.68E+17,"Elgin, McLean Blvd  And Larkin Ave - Accident - police on scene",1
7.68E+17,"Kennedy IB, in the cave, IDOT is towing a box truck that was stalled in the right lane. https://t.co/4jJ0isBrSf",1
7.68E+17,"Wadsworth, Hwy 41   At Hanssen Rd - Accident - police on scene",1
7.68E+17,"Batavia, Fabyan Pkwy  Near Randall Rd - Accident - police on scene",1
7.68E+17,"Elgin, US 20  And Nesler Rd - Accident - police on scene",1
7.68E+17,"West Loop, Fulton Blvd  And Elizabeth St - Accident - police on scene",1
7.68E+17,"Grayslake, SB Hwy 45  And Center St - Disabled Vehicle - right lane blocked",1
7.68E+17,https://t.co/yhYO2KOHnl,0
7.68E+17,https://t.co/XHuKG45RzJ,0
7.68E+17,https://t.co/X4dBBWTgoG,0
7.68E+17,"Bolingbrook, Boughton Rd  And Plainfield-Naperville Rd - Accident - police on scene https://t.co/76Qi12MenQ",1
7.68E+17,"Downed Wires in Skokie has closed Oakton, in both directions, St. Louis Ave to Monticello Ave. https://t.co/JWXpvTITdl",1
7.68E+17,https://t.co/H6SAqTNJbz,0
7.68E+17,https://t.co/9XoDrQSSXd,0
7.68E+17,Adrea Darliss in the studio! https://t.co/cygYxhafkp,1
7.68E+17,Heads up: A right lane is closed until 2pm on the OB Jane Addams between Bartlett &amp; IL-25. https://t.co/3SVXPc8R2V,1
7.68E+17,https://t.co/8PiQOxdw9Y,0
7.68E+17,I-90/I-94 Dan Ryan Exwy Outbound At 79th St (#60C) - Disabled Vehicle - left lane blocked https://t.co/U6fiizJOVw,1
7.68E+17,"Carol Stream, Schmale Rd  And Kehoe Blvd - Accident - police on scene https://t.co/PWnVqGbywf",1
7.68E+17,"Enjoy the rest of your Tuesday, everyone... Safe travels :) https://t.co/DnpcXBkiSO",0
7.68E+17,#WAUKEGAN: Accident @ IL-120/Lewis Ave.,0
7.68E+17,Going to the @whitesox game? The Dan Ryan clocks in @ 25 MINUTES: Dtwn-95th // 28 MINUTES: 95th-Dtwn. https://t.co/KlY0sBHVgN,0
7.68E+17,SB IL-394: A rollover crash approaching Sauk Trail BLOCKS ALL LANES.,1
7.75E+17,Major accident on I-95 S #NYCTraffic still delaying traffic 20m more than usual https://t.co/1LM0NMW1Td https://t.co/RVxKCIRBQz,1
7.75E+17,UPDATE: Derby Ave near Division St still jammed. Will add 20m to your drive #NYCTraffic https://t.co/jh0lDUgNUf,1
7.75E+17,Major accident on State Rte 8 N #NYCTraffic still delaying traffic 20m more than usual https://t.co/4Ynzns4EkW https://t.co/3ztH8XBSDC,1
7.75E+17,Avoid Landing Rd near Lakeside Blvd #NYCTraffic. You'll be stuck 24m longer than usual https://t.co/VknlHz764V https://t.co/8VbLfOQ1yC,1
7.75E+17,Stay away from Coolidge St today #NYCTraffic. Traffic is 29m slower than usual https://t.co/n85FOdLgW8 https://t.co/7nFIf0pPHf,1
7.75E+17,UPDATE: Derby Ave near Division St still jammed. Will add 20m to your drive #NYCTraffic https://t.co/jh0lDUgNUf https://t.co/JdVCTukbYy,1
7.75E+17,Avoid Landing Rd near Lakeside Blvd #NYCTraffic. You'll be stuck 23m longer than usual https://t.co/UVVNROazGv https://t.co/VrhLtsLcp5,1
7.75E+17,Stay away from E 13th St today #NYCTraffic. Traffic is 28m slower than usual https://t.co/DmTBghW0pX https://t.co/J1QwuMaaoE,1
7.75E+17,Traffic on Vineyard Ln #NYCTraffic will delay you 24m more than usual today https://t.co/rPA83ll0ME https://t.co/7twRQRSdzp,1
7.75E+17,Accident on I-95 S #NYCTraffic still delaying traffic 21m more than usual https://t.co/oo1CdERtrH,1
7.75E+17,UPDATE: North St should still be avoided. Wait times 20m more than avg #NYCTraffic https://t.co/mc71YyAsuv https://t.co/b2nv8Z2ly1,1
7.75E+17,Avoid Quincy St near Stuyvesant Ave #NYCTraffic. You'll be stuck 26m longer than usual https://t.co/LmZlcT3dDe https://t.co/V54a73XSoU,1
7.75E+17,Major accident on US-6 #NYCTraffic still delaying traffic 23m more than usual https://t.co/mFkV3ILDyI https://t.co/1AMXVuWdWe,1
7.75E+17,Stay away from Poospatuck Ln today #NYCTraffic. Traffic is 28m slower than usual https://t.co/2qqlabLt4e https://t.co/DH0IwSPaGX,1
7.75E+17,Accident on I-95 S #NYCTraffic still delaying traffic 20m more than usual https://t.co/O8bMYp3ClW https://t.co/iCbFVpPuYe,1
7.75E+17,Stay away from Poospatuck Ln today #NYCTraffic. Traffic is 21m slower than usual https://t.co/kj6HV9cFcg https://t.co/ro8ZBKdZgQ,1
7.75E+17,Stay away from N Lake Shore Dr today #NYCTraffic. Traffic is 25m slower than usual https://t.co/iwSJmijGmz https://t.co/iiJu8FFzr3,1
7.75E+17,Stay away from N Lake Shore Dr today #NYCTraffic. Traffic is 26m slower than usual https://t.co/2MvRxxNH5f https://t.co/eHS7W7uLHn,1
7.75E+17,Avoid Linden St near Myrtle Ave #NYCTraffic. You'll be stuck 21m longer than usual https://t.co/HjStFL45j5 https://t.co/uldNW35ZNT,1
7.75E+17,Stay away from Manhattanville College Rd today #NYCTraffic. Traffic is 23m slower than usual https://t.co/pe2vi5iHgG https://t.co/lI2WdXmIIL,1
7.75E+17,Avoid 12th Ave near Henry Hudson Pkwy N #NYCTraffic. You'll be stuck 39m longer than usual https://t.co/8I3cNTnEb1 https://t.co/pnMKxgm1KR,1
7.75E+17,Avoid Park Ave #NYCTraffic. You'll be stuck 34m longer than usual https://t.co/2jmuURQs1P https://t.co/akZibhph4G,1
7.75E+17,Traffic on Treetop Cir #NYCTraffic will delay you 23m more than usual today https://t.co/zGhvPyR0hg https://t.co/IgMjpVaH5S,1
7.75E+17,Avoid Cooper Rd near Birch Run Ave #NYCTraffic. You'll be stuck 29m longer than usual https://t.co/V4Mz4Q8RTk https://t.co/qmtNxwdWt2,1
7.75E+17,Live image on Southern State Pkwy W. Thanks to @waze user  for the pic! https://t.co/fxT6rDqC5F,0
7.75E+17,Accident on Southern State Pkwy W #NYCTraffic still delaying traffic 20m more than usual https://t.co/kK6ygUZqWg https://t.co/jVFMLXAlbg,1
7.75E+17,Stay away from Old Tschirky Rd today #NYCTraffic. Traffic is 22m slower than usual https://t.co/CE8vfnZKdm https://t.co/sv5KFljgt3,1
7.75E+17,Stay away from Merriwood Rd today #NYCTraffic. Traffic is 21m slower than usual https://t.co/EbjbSUU9Xw https://t.co/bbLZdzBGrO,1
7.75E+17,Stay away from Decatur St today #NYCTraffic. Traffic is 30m slower than usual https://t.co/Xb3RoPD7Z4 https://t.co/hES9MNXKeB,1
7.75E+17,Stay away from Merriwood Rd today #NYCTraffic. Traffic is 21m slower than usual https://t.co/Op83sy0lbp https://t.co/HaFBQ9Wqut,1
7.75E+17,Avoid River Rd near River Rd #NYCTraffic. You'll be stuck 20m longer than usual https://t.co/qrii9V7AHk https://t.co/UL3btMOoP7,1
7.75E+17,Road construction on Derby Ave #NYCTraffic still delaying traffic 25m more than usual https://t.co/HCdn7WY3DZ https://t.co/t5ty1MqqkU,1
7.75E+17,Avoid Washington Ave near Wadsworth Ave #NYCTraffic. You'll be stuck 28m longer than usual https://t.co/35gE7YNTIy https://t.co/WXKS8xBvsW,1
7.75E+17,Avoid US-9W near Gurnee Ave #NYCTraffic. You'll be stuck 22m longer than usual https://t.co/Z9rrPNoPtT https://t.co/i9wsT1VFjv,1
7.75E+17,UPDATE: Derby Ave near Division St still jammed. Will add 21m to your drive #NYCTraffic https://t.co/l5aakEXOId https://t.co/gL0TXSWh6b,1
7.75E+17,UPDATE: Montauk Hwy near Deerfield Rd still jammed. Will add 20m to your drive #NYCTraffic https://t.co/PPvois5NKd,1
7.75E+17,Avoid Jersey Ave near Brook Trl #NYCTraffic. You'll be stuck 21m longer than usual https://t.co/vusoTOFjw9 https://t.co/ZbzDeI6Iot,1
7.75E+17,Stay away from Tuthill Rd today #NYCTraffic. Traffic is 22m slower than usual https://t.co/55ISy8bQI4 https://t.co/uzLDsZI2l0,1
7.75E+17,UPDATE: Montauk Hwy near Deerfield Rd still causing an extra 23m delay #NYCTraffic https://t.co/i1gMeVdlHh https://t.co/9ZBB7hiJW4,1
7.75E+17,UPDATE: Jersey Ave near Brook Trl still jammed. Will add 23m to your drive #NYCTraffic https://t.co/jgufA4dAwv,1
7.75E+17,Avoid Forest Ave near Metropolitan Ave #NYCTraffic. You'll be stuck 20m longer than usual https://t.co/fjsxVRQFNH https://t.co/MYuLoXnSsX,1
7.75E+17,UPDATE: I-95 N still jammed. Will add 22m to your drive #NYCTraffic https://t.co/cWUfH17kRd https://t.co/stoheWLcmO,1
